entry(1577113379083, begin_of_process, idmodel_706218finale, idexec_70621820191223160259083, none, none).
entry(1577113379097, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_ShellBoundsCommand, 1).
entry(1577113379097, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_ShellBoundsCommand, 1).
entry(1577113380418, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_FileOpenCommand, 1).
entry(1577113380418, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_FileOpenCommand, 1).
entry(1577113380872, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 1).
entry(1577113380872, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 1).
entry(1577113395914, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_SelectTextCommand, 1).
entry(1577113395914, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_SelectTextCommand, 1).
entry(1577113397137, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 2).
entry(1577113397137, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 2).
entry(1577113408773, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 3).
entry(1577113408773, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 3).
entry(1577113447496, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 4).
entry(1577113447496, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 4).
entry(1577113448335, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 5).
entry(1577113448335, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 5).
entry(1577113457933, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_ShellBoundsCommand, 2).
entry(1577113458508, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_ShellBoundsCommand, 2).
entry(1577113494556, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_ecfluoriteannotateCommand, 1).
entry(1577113494556, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_ecfluoriteannotateCommand, 1).
entry(1577113515824, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_ecperspectivesshowPerspective, 1).
entry(1577113515824, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_ecperspectivesshowPerspective, 1).
entry(1577113563933, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_SelectTextCommand, 2).
entry(1577113563933, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_SelectTextCommand, 2).
entry(1577113565859, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 6).
entry(1577113565859, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 6).
entry(1577113613081, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_FileOpenCommand, 2).
entry(1577113613081, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_FileOpenCommand, 2).
entry(1577113613428, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 7).
entry(1577113613428, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 7).
